attendance_bucket,Category,Borough,Location,Event Name,Event Type,time_of_day,day_type,audience_1,audience_2,audience_3,audience_4,audience_5,audience_6,audience_7,audience_8
high_attendance,Fitness,Manhattan,Riverside Park,Adventure Race,Agency Produced Event,morning_time,weekday,children_audience,teens_audience,,,,,,
med_attendance,Sport,Queens,Kissena Park,Flag football clinic,Community Based Event,morning_time,weekend,children_audience,teens_audience,,,,,,
med_attendance,Sport,Queens,Kissena Park,NYC Parks Flag Football Clinic (SSE),Community Based Event,morning_time,weekend,teens_audience,children_audience,,,,,,
med_attendance,Fitness,Queens,Corona Golf,"Ready, Set, Family at Corona Golf Playground",Local Event,afternoon_time,weekend,general_public_audience,,,,,,,
unknown_attendance,Sport,Staten Island,Ocean Breeze Park,Ocean Breeze Beach Soccer & Food Truck Festival,Community Based Event,morning_time,weekend,young_adult_audience,children_audience,adults_audience,teens_audience,adaptive_audience,general_public_audience,,
med_attendance,Sport,Queens,Addabbo Playground,Learn to Ride,Community Based Event,morning_time,weekend,children_audience,,,,,,,
med_attendance,Sport,Queens,Kissena Park,Flag Football Clinics,Community Based Event,morning_time,weekend,teens_audience,children_audience,,,,,,
high_attendance,Sport,Queens,Kissena Park,Flag Football Clinic SSE,Community Based Event,morning_time,weekend,teens_audience,children_audience,,,,,,
high_attendance,Sport,Queens,Juniper Valley Park,Queens Bocce tournament,Tournament/Competition,morning_time,weekend,adults_audience,seniors_audience,general_public_audience,,,,,
high_attendance,Sport,Manhattan,Thomas Jefferson Park,Track & Field Meet,Tournament/Competition,morning_time,weekend,children_audience,teens_audience,seniors_audience,,,,,
low_attendance,Sport,Bronx,St. Mary's Park,skills & drills,Community Based Event,morning_time,weekday,children_audience,,,,,,,
med_attendance,Sport,Manhattan,John V. Lindsay East River Park,Cops and Kids Softball Game,Tournament/Competition,afternoon_time,weekday,teens_audience,young_adult_audience,adults_audience,,,,,
high_attendance,Fitness,Bronx,St. James Park,Bronx Fit Fest,Agency Produced Event,morning_time,weekend,general_public_audience,,,,,,,
med_attendance,Sport,Manhattan,John V. Lindsay East River Park,Veteran's Softball Game,Agency Produced Event,night_time,weekday,adults_audience,young_adult_audience,general_public_audience,children_audience,,,,
med_attendance,Sport,Queens,Juniper Valley Park,Queens Recreation Softball Clinic,Community Based Event,afternoon_time,weekend,teens_audience,children_audience,,,,,,
high_attendance,Sport,Queens,Beach 32nd Street Football Fields,Girls Flag Football Invitational,Community Based Event,morning_time,weekday,children_audience,teens_audience,,,,,,
high_attendance,Sport,Manhattan,Thomas Jefferson Park,Thomas Jefferson Track & Field Day,Agency Produced Event,morning_time,weekend,children_audience,teens_audience,seniors_audience,general_public_audience,,,,
high_attendance,Sport,Manhattan,Central Park,Winter Jam,Agency Produced Event,morning_time,weekend,tot_audience,children_audience,young_adult_audience,adults_audience,teens_audience,,,
med_attendance,Fitness,Staten Island,Jennifer's Playground,Stronger Than Ever,Open House,morning_time,weekday,seniors_audience,,,,,,,
med_attendance,Sport,Brooklyn,Herbert Von King Park,Youth Summer Pop Up Recreation,Local Event,afternoon_time,weekday,tot_audience,children_audience,,,,,,
low_attendance,Fitness,Staten Island,Freshkills Park,Stronger Than Ever - Freshkills Walk,Open House,morning_time,weekday,seniors_audience,,,,,,,
med_attendance,Sport,Bronx,Williamsbridge Oval Park,Fastest Kid In Parks Track & Field Event,Local Event,morning_time,weekday,children_audience,general_public_audience,,,,,,
med_attendance,Sport,Brooklyn,Leif Ericson Park,Pick Up Pickleball,Local Event,morning_time,weekday,seniors_audience,,,,,,,
low_attendance,Fitness,Brooklyn,McKinley Park,TABATA Training,Local Event,afternoon_time,weekday,adults_audience,,,,,,,
med_attendance,Fitness,Brooklyn,McKinley Park,Rhythm & Weights,Local Event,morning_time,weekday,children_audience,,,,,,,
med_attendance,Sport,Brooklyn,Leif Ericson Park,Pick Up Pickleball,Local Event,morning_time,weekday,seniors_audience,,,,,,,
low_attendance,Sport,Brooklyn,McKinley Park,Soccer Skills & Games,Local Event,afternoon_time,weekday,children_audience,,,,,,,
low_attendance,Fitness,Staten Island,Ocean Breeze Park,Inspiration Motivation,Open House,morning_time,weekday,general_public_audience,,,,,,,
unknown_attendance,Sport,Staten Island,Ocean Breeze Park,Ocean Breeze Summer Sports Sizzler - Street Hockey,Open House,afternoon_time,weekday,general_public_audience,,,,,,,
med_attendance,Fitness,Staten Island,Ocean Breeze Park,Step & Fit,Open House,morning_time,weekday,general_public_audience,,,,,,,
low_attendance,Fitness,Brooklyn,McKinley Park,Rthym & Weights,Local Event,morning_time,weekday,adults_audience,seniors_audience,,,,,,
low_attendance,Fitness,Bronx,St. James Park,A Walk In The Park,Community Based Event,night_time,weekday,young_adult_audience,adults_audience,seniors_audience,,,,,
