attendance_bucket,Category,Borough,Location,Event Name,Event Type,time_of_day,day_type,audience_1,audience_2,audience_3,audience_4,audience_5,audience_6,audience_7,audience_8
unknown_attendance,Sport,Brooklyn,Maria Hernandez,Youth Summer Pop Up Recreation,Local Event,morning_time,weekday,tot_audience,children_audience,,,,,,
med_attendance,Sport,Manhattan,St. Nicholas Playground North,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,,,,,,
unknown_attendance,Sport,Brooklyn,Linden Park,Mobile Recreation,Community Based Event,morning_time,weekday,children_audience,teens_audience,,,,,,
unknown_attendance,Sport,Brooklyn,Linden Park,Mobile Recreation,Community Based Event,morning_time,weekday,children_audience,teens_audience,,,,,,
unknown_attendance,Sport,Brooklyn,Linden Park,Mobile Recreation,Community Based Event,morning_time,weekday,children_audience,teens_audience,,,,,,
med_attendance,Fitness,Staten Island,Jennifer's Playground,Stronger Than Ever,Open House,morning_time,weekday,seniors_audience,,,,,,,
med_attendance,Sport,Brooklyn,Jesse Owens Playground,Youth Summer Pop Up Recreation,Local Event,night_time,weekday,tot_audience,children_audience,,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,morning_time,weekday,children_audience,teens_audience,tot_audience,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Sports Drills,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
med_attendance,Fitness,Bronx,St. Mary's Park West,Trap and Spin,Open House,morning_time,weekday,young_adult_audience,adults_audience,,,,,,
med_attendance,Sport,Brooklyn,Maria Hernandez,Youth Summer Pop Up Recreation,Local Event,morning_time,weekday,tot_audience,children_audience,adults_audience,young_adult_audience,,,,
unknown_attendance,Sport,Brooklyn,Fox Playground,Youth Summer Pop Up Reacreation,Local Event,morning_time,weekday,children_audience,teens_audience,,,,,,
med_attendance,Sport,Brooklyn,Century Playground,Youth Summer Pop Up Recreation,Local Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
low_attendance,Sport,Brooklyn,Hilltop Playground,Mobile Recreation,Community Based Event,morning_time,weekday,tot_audience,,,,,,,
low_attendance,Sport,Brooklyn,Century Playground,Youth Summer Pop Up Recreation,Local Event,afternoon_time,weekday,teens_audience,children_audience,,,,,,
unknown_attendance,Sport,Brooklyn,100% Playground,Youth Summer Pop Up Recreation,Local Event,afternoon_time,weekday,teens_audience,,,,,,,
med_attendance,Sport,Brooklyn,Jesse Owens Playground,Youth Summer Pop Up Recreation,Local Event,afternoon_time,weekday,tot_audience,children_audience,,,,,,
med_attendance,Sport,Brooklyn,West Playground,Youth Summer Pop Up Recreation,Local Event,morning_time,weekday,children_audience,tot_audience,,,,,,
unknown_attendance,Sport,Brooklyn,Linden Park,Mobile Recreation,Community Based Event,afternoon_time,weekday,general_public_audience,,,,,,,
low_attendance,Fitness,Brooklyn,West Playground,Youth Summer Pop Up Recreation,Local Event,morning_time,weekday,children_audience,tot_audience,,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,morning_time,weekday,children_audience,tot_audience,teens_audience,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Walk-a-thon,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,afternoon_time,weekday,children_audience,tot_audience,,,,,,
med_attendance,Fitness,Staten Island,Jennifer's Playground,Stronger Than Ever,Open House,morning_time,weekday,seniors_audience,,,,,,,
med_attendance,Sport,Brooklyn,Heckscher Playground,Youth Summer Pop Up Recreation,Local Event,morning_time,weekday,tot_audience,children_audience,,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
med_attendance,Sport,Brooklyn,Star Spangled Playground,Youth Summer Pop Up Recreation,Local Event,afternoon_time,weekday,tot_audience,children_audience,,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Walk-a-thon,Community Based Event,afternoon_time,weekday,children_audience,tot_audience,teens_audience,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,afternoon_time,weekday,teens_audience,children_audience,,,,,,
med_attendance,Sport,Brooklyn,Hilltop Playground,Mobile Recreation,Community Based Event,morning_time,weekday,tot_audience,children_audience,,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,morning_time,weekday,children_audience,teens_audience,,,,,,
med_attendance,Sport,Brooklyn,Linden Park,Mobile Recreation,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Walk-a-thon,Community Based Event,night_time,weekday,children_audience,teens_audience,,,,,,
med_attendance,Sport,Brooklyn,Potomac Playground,Youth Summer Pop Up Recreation,Local Event,afternoon_time,weekday,tot_audience,children_audience,,,,,,
med_attendance,Sport,Brooklyn,Maria Hernandez,Youth Summer Pop Up Recreation,Local Event,morning_time,weekday,tot_audience,children_audience,,,,,,
low_attendance,Sport,Manhattan,St. Nicholas Playground North,KIM Outdoor Programming,Community Based Event,morning_time,weekday,children_audience,,,,,,,
unknown_attendance,Sport,Manhattan,St. Nicholas Playground North,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,,,,,,
low_attendance,Sport,Manhattan,St. Nicholas Playground North,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,,,,,,
med_attendance,Fitness,Staten Island,Jennifer's Playground,Stronger Than Ever,Open House,morning_time,weekday,seniors_audience,,,,,,,
unknown_attendance,Sport,Brooklyn,Linden Park,Mobile Recreation,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,general_public_audience,,,,
med_attendance,Sport,Brooklyn,Maria Hernandez,Youth Summer Pop Up Recreation,Local Event,morning_time,weekday,adults_audience,teens_audience,tot_audience,children_audience,young_adult_audience,,,
med_attendance,Sport,Brooklyn,Jesse Owens Playground,Youth Summer Pop Up Recreation,Local Event,afternoon_time,weekday,tot_audience,young_adult_audience,children_audience,,,,,
med_attendance,Sport,Brooklyn,Hilltop Playground,Mobile Recreation,Community Based Event,morning_time,weekday,tot_audience,children_audience,,,,,,
med_attendance,Sport,Brooklyn,Maria Hernandez,Youth Summer Pop Up Recreation,Local Event,morning_time,weekday,tot_audience,children_audience,,,,,,
med_attendance,Sport,Brooklyn,Jesse Owens Playground,Youth Summer Pop Up Recreation,Local Event,afternoon_time,weekday,tot_audience,children_audience,young_adult_audience,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Walk-a-thon,Community Based Event,night_time,weekday,children_audience,teens_audience,,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,morning_time,weekday,children_audience,teens_audience,,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Sports Drills,Community Based Event,night_time,weekday,children_audience,teens_audience,,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,morning_time,weekday,children_audience,teens_audience,,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Sports Drills,Community Based Event,night_time,weekday,children_audience,teens_audience,,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Walk-a-thon,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
med_attendance,Sport,Brooklyn,Linden Park,Mobile Recreation,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,general_public_audience,,,,
med_attendance,Sport,Brooklyn,Heckscher Playground,Youth Summer Pop Up Recreation,Local Event,morning_time,weekday,tot_audience,children_audience,young_adult_audience,,,,,
med_attendance,Sport,Brooklyn,Star Spangled Playground,Youth Summer Pop Up Recreation,Local Event,afternoon_time,weekday,tot_audience,children_audience,young_adult_audience,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Walk-a-thon,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Sports Drills,Community Based Event,night_time,weekday,children_audience,teens_audience,,,,,,
med_attendance,Fitness,Queens,Nautilus Playground,Kids in Motion,Community Based Event,morning_time,weekday,adults_audience,seniors_audience,,,,,,
low_attendance,Sport,Manhattan,St. Nicholas Playground North,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,,,,,,
med_attendance,Sport,Manhattan,St. Nicholas Playground North,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
unknown_attendance,Sport,Brooklyn,Hilltop Playground,Mobile Recreation,Community Based Event,morning_time,weekday,tot_audience,,,,,,,
unknown_attendance,Fitness,Bronx,St. Mary's park Parking Lot,Trap and Spin,Open House,morning_time,weekday,adults_audience,young_adult_audience,,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,morning_time,weekday,children_audience,teens_audience,,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Walk-a-thon,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Sports Drills,Community Based Event,night_time,weekday,children_audience,teens_audience,,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Walk-a-thon,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,afternoon_time,weekday,tot_audience,teens_audience,children_audience,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Sports Drills,Community Based Event,night_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Sport,Brooklyn,Linden Park,Mobile Recreation,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Sport,Brooklyn,Maria Hernandez,Youth Summer Pop Up Recreation,Open House,morning_time,weekday,tot_audience,children_audience,young_adult_audience,,,,,
med_attendance,Sport,Brooklyn,Jesse Owens Playground,Youth Summer Pop Up Recreation,Local Event,afternoon_time,weekday,tot_audience,children_audience,,,,,,
med_attendance,Fitness,Staten Island,Jennifer's Playground,Stronger Than Ever,Open House,morning_time,weekday,seniors_audience,,,,,,,
med_attendance,Fitness,Staten Island,Jennifer's Playground,Stronger Than Ever,Open House,morning_time,weekday,seniors_audience,,,,,,,
med_attendance,Fitness,Staten Island,Jennifer's Playground,Stronger Than ever,Open House,morning_time,weekday,seniors_audience,,,,,,,
med_attendance,Fitness,Staten Island,Jennifer's Playground,Stronger Than Ever,Open House,morning_time,weekday,seniors_audience,,,,,,,
med_attendance,Sport,Brooklyn,Hilltop Playground,Mobile Recreation,Community Based Event,morning_time,weekday,tot_audience,children_audience,,,,,,
med_attendance,Sport,Manhattan,Anne Loftus Playground,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,adults_audience,,,,
med_attendance,Sport,Manhattan,Anne Loftus Playground,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,adults_audience,,,,
med_attendance,Sport,Brooklyn,Jesse Owens Playground,Youth Summer Pop Up Recreation,Local Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Sport,Brooklyn,Maria Hernandez,Youth Summer Pop Up Recreation,Local Event,morning_time,weekday,tot_audience,children_audience,,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Walk-a-thon,Community Based Event,afternoon_time,weekday,children_audience,tot_audience,,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Sports Drills,Community Based Event,morning_time,weekday,children_audience,teens_audience,,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,afternoon_time,weekday,tot_audience,teens_audience,children_audience,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Walk-a-thon,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Sports Drills,Community Based Event,night_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,morning_time,weekday,children_audience,teens_audience,tot_audience,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,afternoon_time,weekday,tot_audience,teens_audience,children_audience,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Sports Drills,Community Based Event,night_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Sport,Brooklyn,Star Spangled Playground,Youth Summer Pop Up Recreation,Local Event,afternoon_time,weekday,tot_audience,children_audience,,,,,,
med_attendance,Sport,Brooklyn,Heckscher Playground,Youth Summer Pop Up Recreation,Local Event,morning_time,weekday,tot_audience,children_audience,,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Sports Drills,Community Based Event,night_time,weekday,tot_audience,children_audience,teens_audience,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Walk-a-thon,Community Based Event,afternoon_time,weekday,children_audience,tot_audience,teens_audience,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Sport,Manhattan,St. Nicholas Playground North,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,,,,,,
med_attendance,Sport,Manhattan,St. Nicholas Playground North,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,,,,,,
med_attendance,Sport,Brooklyn,Linden Park,Mobile Recreation,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Staten Island,Jennifer's Playground,Stronger Than Ever,Open House,morning_time,weekday,seniors_audience,,,,,,,
med_attendance,Sport,Brooklyn,Maria Hernandez,Youth Summer Pop Up Recreation,Local Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Sport,Brooklyn,Potomac Playground,Youth Summer Pop Up Recreation,Local Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Staten Island,Jennifer's Playground,Stonger Than Ever,Open House,morning_time,weekday,seniors_audience,,,,,,,
med_attendance,Fitness,Bronx,St. mary's Parking lot,Trap and Spin,Open House,morning_time,weekday,young_adult_audience,adults_audience,,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,morning_time,weekday,children_audience,teens_audience,,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Walk-a-thon,Community Based Event,afternoon_time,weekday,children_audience,tot_audience,teens_audience,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Sports Drills,Community Based Event,night_time,weekday,tot_audience,children_audience,teens_audience,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Sport,Brooklyn,Heckscher Playground,Youth Summer Pop Up Recreation,Local Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Sport,Brooklyn,Star Spangled Playground,Youth Summer Pop Up Recreation,Local Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Walk-a-thon,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Sports Drills,Community Based Event,night_time,weekday,tot_audience,teens_audience,children_audience,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,afternoon_time,weekday,tot_audience,teens_audience,children_audience,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Sport,Brooklyn,Linden Park,Mobile Recreation,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Sport,Brooklyn,Linden Park,Mobile Recreation,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Bronx,Fort Independence Playground,Shape Up NYC: Cardio Fit,Community Based Event,morning_time,weekend,adults_audience,,,,,,,
med_attendance,Sport,Brooklyn,Maria Hernandez,Youth Summer Pop Up Recreation,Open House,morning_time,weekday,tot_audience,teens_audience,children_audience,,,,,
low_attendance,Fitness,Bronx,St. mary's,Trap and Spin,Open House,morning_time,weekend,adults_audience,young_adult_audience,,,,,,
med_attendance,Sport,Brooklyn,Maria Hernandez,Youth Summer Pop Up Recreation,Local Event,morning_time,weekday,tot_audience,children_audience,,,,,,
med_attendance,Sport,Brooklyn,Jesse Owens Playground,Youth Summer Pop Up Recreation,Local Event,afternoon_time,weekday,tot_audience,teens_audience,children_audience,,,,,
med_attendance,Fitness,Bronx,St. Mary's Parking Lot,Trap and Spin,Open House,morning_time,weekday,adults_audience,young_adult_audience,,,,,,
low_attendance,Fitness,Bronx,St. Mary's Parking Lot,Chair Aerobics,Open House,morning_time,weekday,adults_audience,young_adult_audience,seniors_audience,adaptive_audience,,,,
med_attendance,Fitness,Brooklyn,St. Andrew's Playground,Zumba,Community Based Event,night_time,weekend,adults_audience,,,,,,,
med_attendance,Fitness,Bronx,Fort Independence Playground,Cardio Fit,Community Based Event,night_time,weekend,adults_audience,,,,,,,
med_attendance,Fitness,Bronx,Fort Independence Playground,Cardio Fit,Community Based Event,night_time,weekend,adults_audience,,,,,,,
med_attendance,Fitness,Bronx,Fort Independence Playground,Cardio Fit,Community Based Event,night_time,weekend,adults_audience,,,,,,,
med_attendance,Fitness,Bronx,Fort Independence Playground,Cardio Fit,Community Based Event,night_time,weekend,adults_audience,,,,,,,
med_attendance,Sport,Brooklyn,Heckscher Playground,Youth Summer Pop Up Recreation,Local Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Sport,Brooklyn,Star Spangled Playground,Youth Summer Pop Up Recreation,Local Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Bronx,Fort Independence playground,Cardio fit,Community Based Event,night_time,weekend,adults_audience,,,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Walk-a-thon,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
unknown_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,afternoon_time,weekday,tot_audience,teens_audience,children_audience,,,,,
low_attendance,Fitness,Staten Island,Stapleton Playground,Fit Kids,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,afternoon_time,weekday,tot_audience,teens_audience,children_audience,,,,,
low_attendance,Fitness,Staten Island,Stapleton Playground,Sports Drills,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
low_attendance,Fitness,Staten Island,Stapleton Playground,Sports Drills,Community Based Event,afternoon_time,weekday,children_audience,tot_audience,teens_audience,,,,,
low_attendance,Fitness,Staten Island,Stapleton Playground,Fit Kids,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Sports Drills,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Bronx,Fort Independence Playground,Shape Up NYC: Cardio Fit,Community Based Event,morning_time,weekend,adults_audience,,,,,,,
med_attendance,Fitness,Brooklyn,St. Andrew's Playground,Shape Up NYC: Zumba,Community Based Event,morning_time,weekend,adults_audience,,,,,,,
med_attendance,Fitness,Bronx,Fort Independence Playground,Shape Up NYC: Cardio Fit,Community Based Event,morning_time,weekend,adults_audience,,,,,,,
med_attendance,Fitness,Brooklyn,St. Andrew's Playground,Shape Up NYC: Zumba,Community Based Event,morning_time,weekend,adults_audience,,,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Staten Island,Stapleton Playground,Fit Kids,Community Based Event,morning_time,weekday,children_audience,tot_audience,teens_audience,,,,,
unknown_attendance,Sport,Brooklyn,Linden Park,Mobile Recreation,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
unknown_attendance,Sport,Brooklyn,Hilltop Playground,Mobile Recreation,Community Based Event,morning_time,weekday,tot_audience,children_audience,,,,,,
med_attendance,Fitness,Staten Island,De Matti Playground,Sports Drills,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Sport,Brooklyn,Linden Park,Mobile Recreation,Community Based Event,morning_time,weekday,children_audience,teens_audience,,,,,,
med_attendance,Fitness,Staten Island,Stapleton Playground,Sports Drills,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Walk-a-thon,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Staten Island,Stapleton Playground,Sports Drills,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
low_attendance,Fitness,Staten Island,Stapleton Playground,Fit Kids,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Fit Kids,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Sports Drills,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
low_attendance,Fitness,Staten Island,De Matti Playground,Hula Hoop Fitness,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Staten Island,Jennifer's Playground,stronger than ever,Open House,morning_time,weekday,seniors_audience,,,,,,,
med_attendance,Fitness,Staten Island,Jennifer's Playground,stronger than ever,Open House,morning_time,weekday,seniors_audience,,,,,,,
med_attendance,Fitness,Staten Island,Jennifer's Playground,stronger than ever,Open House,morning_time,weekday,seniors_audience,,,,,,,
low_attendance,Fitness,Staten Island,Stapleton Playground,Sprinkler Time,Community Based Event,afternoon_time,weekend,tot_audience,teens_audience,children_audience,,,,,
med_attendance,Fitness,Staten Island,Stapleton Playground,Fit Kids,Community Based Event,morning_time,weekend,tot_audience,teens_audience,children_audience,,,,,
med_attendance,Fitness,Staten Island,Stapleton Playground,Sports Drills,Community Based Event,afternoon_time,weekend,tot_audience,children_audience,teens_audience,,,,,
low_attendance,Fitness,Staten Island,Stapleton Playground,Sports Drills,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Staten Island,Stapleton Playground,Fit Kids,Community Based Event,afternoon_time,weekday,tot_audience,teens_audience,children_audience,,,,,
low_attendance,Fitness,Staten Island,Stapleton Playground,Walk-a-thon,Community Based Event,afternoon_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Bronx,Williamsbridge Oval Park,Circuit Training,Community Based Event,morning_time,weekday,adults_audience,young_adult_audience,seniors_audience,,,,,
med_attendance,Fitness,Bronx,Fort Independence Playground,Shape Up NYC: Cardio Fit,Community Based Event,morning_time,weekend,adults_audience,,,,,,,
med_attendance,Fitness,Bronx,Poe Park Visitor Center,Spring Programs,Local Event,afternoon_time,weekday,children_audience,,,,,,,
high_attendance,Fitness,Manhattan,Asser Levy Playground,unknown_name,Community Based Event,night_time,weekend,general_public_audience,,,,,,,
high_attendance,Fitness,Manhattan,Anne Loftus Playground,Summer Festival,Community Based Event,morning_time,weekday,children_audience,,,,,,,
high_attendance,Sport,Manhattan,Robert Moses Playground,International Pickleball Festival,Community Based Event,morning_time,weekend,general_public_audience,,,,,,,
med_attendance,Fitness,Queens,Horace Harding Playground,Learn to Ride,Open House,morning_time,weekend,teens_audience,children_audience,,,,,,
low_attendance,Fitness,Bronx,Mapes,Cool Pools - Shape Up NYC,Community Based Event,morning_time,weekday,adults_audience,teens_audience,,,,,,
unknown_attendance,Fitness,Manhattan,Wagner,Shape Up NYC Cool Pool,Community Based Event,night_time,weekday,adults_audience,,,,,,,
low_attendance,Fitness,Manhattan,Dry Dock,Body Conditioning,Agency Produced Event,night_time,weekend,adults_audience,seniors_audience,,,,,,
low_attendance,Fitness,Bronx,Mapes,Zumba w/GiGi,Agency Produced Event,morning_time,weekday,adults_audience,seniors_audience,,,,,,
med_attendance,Fitness,Queens,Fisher Pool,Dance Fitness,Agency Produced Event,afternoon_time,weekend,adults_audience,seniors_audience,,,,,,
med_attendance,Fitness,Manhattan,Sheltering Arms,Zumba w/GiGi,Agency Produced Event,morning_time,weekday,seniors_audience,adults_audience,,,,,,
